objid,ra,dec,u,g,r,i,z,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,94.5030469,0.475851472,18.96574,17.49392,16.80027,16.5846,16.32055,357,1.41755E+18,STAR,2.16E-05,1259,52931,166
1.23765E+18,94.51335469,0.566978918,18.8781,17.18946,16.36462,16.03709,15.80739,357,1.41756E+18,STAR,0.000102055,1259,52931,171
1.23765E+18,94.59731098,0.5008192,18.80745,17.31809,17.08153,17.01195,16.92199,358,1.41756E+18,STAR,0.000251916,1259,52931,173
1.23765E+18,94.66229345,0.559812995,17.9974,16.56571,16.34072,16.27827,16.17252,358,1.41755E+18,STAR,0.000176504,1259,52931,158
1.23765E+18,94.53828779,0.581610869,19.4468,17.49869,16.64163,16.32379,16.10441,358,1.41756E+18,STAR,0.00015113,1259,52931,172
1.23765E+18,94.75659566,0.545980639,18.39291,16.89005,16.64779,16.57342,16.45864,359,1.41755E+18,STAR,0.000184656,1259,52931,159
1.23765E+18,94.75952303,0.489206289,17.41394,15.82041,15.54785,15.44004,15.32297,359,1.41755E+18,STAR,0.000154103,1259,52931,150
1.23765E+18,94.78157627,0.469236414,17.92325,16.08336,15.24429,14.97743,14.68391,359,1.41755E+18,STAR,0.000165467,1259,52931,157
1.23765E+18,94.80144598,0.480031064,18.00599,16.59239,15.96268,15.68571,15.48704,359,1.41755E+18,STAR,0.000248549,1259,52931,148
1.23765E+18,94.68555372,0.597225491,19.17918,17.62022,16.81505,16.45292,16.17883,359,1.41755E+18,STAR,0.000198203,1259,52931,145
1.23765E+18,94.82660781,0.511579298,17.24014,15.74588,15.49622,15.42726,15.36728,360,1.41755E+18,STAR,0.000153377,1259,52931,160
1.23765E+18,94.88321239,0.528810616,19.06549,17.41749,17.04866,16.9136,16.79453,360,1.41755E+18,STAR,0.000161408,1259,52931,153
1.23765E+18,94.9372491,0.426849838,16.83226,15.54497,15.32333,15.29553,15.22289,360,1.41755E+18,STAR,6.81E-05,1259,52931,154
1.23765E+18,94.95027439,0.490993466,18.60203,17.0015,16.70114,16.58815,16.47389,360,1.41754E+18,STAR,0.000191419,1259,52931,121
1.23765E+18,94.98627545,0.462755208,19.01501,17.34647,17.01908,16.88875,16.76277,361,1.41754E+18,STAR,0.000158814,1259,52931,122
1.23765E+18,95.00262841,0.43915517,18.96944,17.39834,17.09692,16.97927,16.86172,361,1.41755E+18,STAR,0.000248772,1259,52931,136
1.23765E+18,95.23848776,0.522283042,18.50328,16.80843,16.37821,16.19013,16.00962,362,1.41755E+18,STAR,4.41E-06,1259,52931,138
1.23765E+18,95.38906714,0.578667738,19.26527,17.52949,17.07929,16.89643,16.70403,363,1.41764E+18,STAR,0.000154012,1259,52931,477
1.23765E+18,95.43095446,0.514858133,18.69613,17.11757,16.72629,16.55408,16.39483,364,1.41753E+18,STAR,0.000153275,1259,52931,97
1.23765E+18,95.46312348,0.423128146,18.58406,17.00747,16.70864,16.62575,16.49165,364,1.41753E+18,STAR,0.00020581,1259,52931,98
1.23765E+18,95.48373556,0.528364761,19.10814,17.47881,16.89779,16.6436,16.50154,364,1.41764E+18,STAR,0.000179562,1259,52931,490
1.23765E+18,95.48341442,0.561495603,19.49383,17.83158,17.28235,17.0308,16.85097,364,1.41764E+18,STAR,0.000114571,1259,52931,486
1.23765E+18,95.54443399,0.42039417,18.66563,17.22367,16.95071,16.85968,16.81009,364,1.41753E+18,STAR,0.00013976,1259,52931,95
1.23765E+18,95.55117971,0.594169266,17.25711,15.61862,15.26411,15.12534,15.23013,364,1.41764E+18,STAR,0.000228585,1259,52931,491
1.23765E+18,95.4961657,0.588381202,19.45985,17.74878,17.23679,17.00379,16.80161,364,1.41764E+18,STAR,0.0001166,1259,52931,485
1.23765E+18,95.59307985,0.519759329,18.95968,17.4355,17.08788,16.93121,16.77718,365,1.41766E+18,STAR,0.000194675,1259,52931,537
1.23765E+18,95.62871624,0.552083069,18.25908,16.96885,16.6038,16.46867,16.32395,365,1.41766E+18,STAR,0.000225927,1259,52931,540
1.23765E+18,95.67813466,0.45029514,18.32321,16.6338,16.23536,16.06621,15.9324,365,1.41766E+18,STAR,0.000130363,1259,52931,536
1.23765E+18,95.68718817,0.568587039,18.63447,16.81266,16.2981,16.07833,15.87862,365,1.41766E+18,STAR,0.000105469,1259,52931,535
1.23765E+18,95.8435402,0.560050033,18.25515,16.49706,15.61909,15.16848,14.88882,366,1.41765E+18,STAR,0.000224093,1259,52931,532
